,Unnamed: 0,IC50,SMILES,numb,C,O,N,MolWeight,Rings,TPSA,FpDM1,RotBonds
0,1,1250.0,O=C1N(Cc2ccc(COc3ccc(-c4ccc(Cl)cc4)cc3)cc2)CCN1c1ccncc1,34,28,2,3,469.155704688,5,45.67,0.7647058823529411,7
1,2,5000.0,O=C1N(CCN(CCOc2ccc(-c3ccc(Cl)cc3)cc2)Cc2ccccc2)CCN1c1ccncc1,38,31,2,4,526.2135539120001,5,48.910000000000004,0.8157894736842105,11
2,3,5200.0,Cc1ccc(Cn2cnc3c(N(C)C)nc(Cl)nc32)cc1,21,15,0,5,301.109423192,3,46.84,1.1428571428571428,3
3,4,408.514285714286,CC(CCOc1ccc(-c2ccc(Cl)cc2)cc1)CCN1CCN(c2ccncc2)C1=O,32,26,2,3,449.187004816,4,45.67,0.9375,9
4,5,386.0,c1ccc(C(c2ccccc2)N2CCN(c3ncnc4c3cnn4-c3ccccc3)CC2)cc1,34,28,0,6,446.22189483200003,6,50.080000000000005,0.6470588235294118,5
5,6,360.0,Cc1ccsc1C(c1ccccn1)N1CCN(c2ncnc3c2cnn3-c2ccccc2)CC1,34,26,0,7,467.1892148000001,6,62.970000000000006,0.8823529411764706,5
6,7,665.0,O=C1N(Cc2cccc(COc3ccc(-c4ccc(Cl)cc4)cc3)c2)CCN1c1ccncc1,34,28,2,3,469.155704688,5,45.67,0.8235294117647058,7
7,8,23940.0,Cc1cc(COc2ccc(-c3ccc(Cl)cc3)cc2)cc(CN2CCN(c3ccncc3)C2=O)c1,35,29,2,3,483.171354752,5,45.67,0.8571428571428571,7
8,9,366.975,CCn1nnc(-c2ccc(OCCC(C)CCN3CCN(c4ccncc4)C3=O)cc2)n1,32,23,2,7,435.23827316800003,4,89.27,1.0625,10
9,10,12980.0,CCCC(CCOc1ccc(-c2ccc(Cl)cc2)cc1)CCN1CCN(c2ccncc2)C1=O,34,28,2,3,477.218304944,4,45.67,0.9117647058823529,11
10,11,12.5,CC(CCCOc1ccc(-c2ccc(Cl)cc2)cc1)CN1CCN(c2ccncc2)C1=O,32,26,2,3,449.187004816,4,45.67,0.96875,9
11,12,36.0,CC(CCCN1CCN(c2ccncc2)C1=O)COc1ccc(-c2ccc(Cl)cc2)cc1,32,26,2,3,449.18700481599996,4,45.67,0.96875,9
